date,bedrooms,bathrooms,floors,waterfront,condition,grade,yr_built,zipcode,lat,long,view_bool,sqft_basement_bool,yr_renovated_bool,ft_lot,ft_above,Population_Density,Housing_Units,Median_Home_Value,Land_Area,Water_Area,Median_Household_Income,Median_Age,pers_houses_occupied
326,4,2.5,2.0,0,3,9,1999,5,47.565,-122.125,0,0,0,4.205805214420586,3.946786036752451,3402.0,13891.0,574000.0,10.69,0.75,110290.0,42.0,0.9565905982290692
152,4,1.75,1.0,0,5,7,1924,49,47.6746,-122.32,0,1,0,4.266533270286264,3.532379513895901,7018.0,21623.0,492700.0,6.58,2.11,84159.0,38.0,0.9460296906072236
102,4,2.25,2.0,0,3,8,1978,20,47.3742,-122.284,0,0,0,4.553599806528335,3.8458284114052734,2024.0,14451.0,234700.0,16.72,0.29,48853.0,33.0,0.9267870735589232
52,2,1.75,2.0,0,3,9,2005,10,47.6359,-121.94,1,1,0,6.272987353927289,3.772166054026844,149.0,2631.0,410900.0,45.31,1.79,95394.0,41.0,0.9334853667806916
55,4,1.75,1.0,0,4,8,1979,29,47.657,-122.026,0,0,0,6.245091674113081,3.827221613235056,662.0,7652.0,544500.0,28.37,0.18,116518.0,41.0,0.9289074751698904
201,2,1.0,1.0,0,4,5,1951,67,47.4559,-122.289,0,0,0,4.532078930899051,3.2610463990850764,3062.0,9959.0,226800.0,7.55,0.29,40815.0,35.0,0.9301134652073502
98,5,3.5,2.5,0,3,8,2013,31,47.5049,-122.17,0,0,0,4.129858480510761,3.9614929793555977,4323.0,13746.0,342600.0,7.52,1.55,70683.0,36.0,0.943110723119453
66,2,1.0,1.0,0,4,7,1906,49,47.6877,-122.325,0,0,0,4.222311249290701,3.581198748677859,7018.0,21623.0,492700.0,6.58,2.11,84159.0,38.0,0.9460296906072236
118,2,2.5,1.0,0,3,8,2010,29,47.717,-122.02,0,0,0,4.3974124640072585,3.88742788333276,662.0,7652.0,544500.0,28.37,0.18,116518.0,41.0,0.9289074751698904
280,3,1.0,1.5,0,4,7,1927,56,47.5677,-122.376,0,1,0,4.328477566895698,3.4782727215757845,6732.0,9805.0,358100.0,3.07,0.69,66408.0,38.0,0.9372768995410504
376,2,1.0,1.0,0,3,6,1958,32,47.4563,-122.184,0,0,0,4.576885010243895,3.342305863833964,2215.0,16120.0,302200.0,18.93,0.83,77780.0,38.0,0.9550248138957816
38,4,2.5,2.0,0,4,9,1972,25,47.5578,-122.212,1,1,0,4.936179008669604,4.044741237180377,3591.0,9930.0,864000.0,6.32,6.79,126359.0,46.0,0.9173212487411884
131,4,2.25,2.0,0,3,8,1983,32,47.4338,-122.146,0,0,1,5.452519064180553,3.998158615898373,2215.0,16120.0,302200.0,18.93,0.83,77780.0,38.0,0.9550248138957816
95,3,2.0,1.0,0,4,8,1967,27,47.4861,-121.786,0,0,0,4.664061703816283,3.713274536198652,41.0,5536.0,368300.0,336.99,6.04,88906.0,40.0,0.9378612716763006
306,4,3.25,2.0,0,3,9,2014,46,47.5529,-122.293,1,1,0,4.147024820051014,3.876811773279873,2989.0,8194.0,326500.0,7.48,0.37,52232.0,37.0,0.9327556748840616
174,3,2.0,1.0,0,3,7,2007,34,47.5206,-121.868,0,0,0,4.28261058021341,3.713274536198652,171.0,4556.0,418900.0,74.09,0.87,121415.0,34.0,0.9389815627743636
340,4,3.75,1.0,0,3,11,2013,3,47.62,-122.207,0,1,0,4.80196765375693,4.169033262759401,3977.0,16568.0,723300.0,7.03,1.61,93521.0,40.0,0.803959439884114
