date,bedrooms,bathrooms,floors,waterfront,condition,grade,yr_built,zipcode,lat,long,view_bool,sqft_basement_bool,yr_renovated_bool,ft_lot,ft_above,Population_Density,Housing_Units,Median_Home_Value,Land_Area,Water_Area,Median_Household_Income,Median_Age,pers_houses_occupied
157,4,2.25,2.0,0,4,8,1986,32,47.4388,-122.162,0,0,0,4.54650986469982,3.8176519431297073,2215.0,16120.0,302200.0,18.93,0.83,77780.0,38.0,0.9550248138957816
111,5,3.0,1.0,0,5,8,1977,49,47.6784,-122.285,0,1,0,4.407165211319387,3.756035622917733,7018.0,21623.0,492700.0,6.58,2.11,84159.0,38.0,0.9460296906072236
105,4,2.5,2.0,0,3,11,1997,5,47.5646,-122.129,1,0,0,4.647937830041223,4.117415140221028,3402.0,13891.0,574000.0,10.69,0.75,110290.0,42.0,0.9565905982290692
333,3,3.5,2.0,0,3,12,1990,22,47.6995,-122.228,1,0,0,4.794662301417375,4.212538951254216,4428.0,17880.0,364900.0,9.13,1.69,77688.0,36.0,0.9446868008948546
73,3,2.5,2.0,0,3,9,2004,28,47.6647,-122.083,0,0,0,4.294849941101493,3.921924319076236,2908.0,25674.0,465200.0,20.1,0.83,99192.0,34.0,0.9351094492482668
117,4,2.0,1.5,0,3,7,1970,19,47.3947,-122.174,0,0,0,4.511281982249632,3.7221243247483526,4877.0,12846.0,271500.0,7.5,0.1,63709.0,35.0,0.95298147283201
109,4,2.5,2.0,0,4,9,1987,6,47.6596,-122.144,0,0,0,4.495843362967412,3.948648236297944,5684.0,10996.0,379000.0,4.38,0.01,73162.0,32.0,0.9380683885049108
168,3,2.5,1.0,0,5,7,1970,69,47.6599,-122.396,0,1,0,4.194679909953177,3.6039299357162378,4714.0,9810.0,606200.0,4.18,1.5,82882.0,42.0,0.927420998980632
94,3,2.5,2.0,0,3,8,2005,15,47.5344,-122.068,0,0,0,3.93355275015837,3.688879454113936,469.0,11248.0,478800.0,55.79,1.13,100644.0,41.0,0.9294096728307256
14,2,1.0,1.0,0,4,7,1909,53,47.6341,-122.361,0,0,0,4.0943445622221,3.406722299755448,8638.0,11592.0,608300.0,2.44,0.63,68383.0,34.0,0.9214975845410628
