date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long
20150324T000000,4,2.5,2680,4499,2.0,0,0,3,9,2680,0,1999,0,98006,47.565,-122.125
20141001T000000,4,1.75,2340,5080,1.0,0,0,5,7,1170,1170,1924,0,98115,47.6746,-122.32
20140812T000000,4,2.25,2190,9020,2.0,0,0,3,8,2190,0,1978,0,98032,47.3742,-122.284
20140623T000000,2,1.75,2260,280962,2.0,0,2,3,9,1890,370,2005,0,98014,47.6359,-121.94
20140626T000000,4,1.75,2110,265716,1.0,0,0,4,8,2110,0,1979,0,98053,47.657,-122.026
20141119T000000,2,1.0,680,8640,1.0,0,0,4,5,680,0,1951,0,98188,47.4559,-122.289
20140808T000000,5,3.5,2760,3865,2.5,0,0,3,8,2760,0,2013,0,98056,47.5049,-122.17
20140707T000000,2,1.0,1290,4650,1.0,0,0,4,7,1290,0,1906,0,98115,47.6877,-122.325
20140828T000000,2,2.5,2380,6600,1.0,0,0,3,8,2380,0,2010,0,98053,47.717,-122.02
20150206T000000,3,1.0,1500,5750,1.5,0,0,4,7,1050,450,1927,0,98126,47.5677,-122.376
20150513T000000,2,1.0,800,9450,1.0,0,0,3,6,800,0,1958,0,98058,47.4563,-122.184
20140609T000000,4,2.5,4250,19387,2.0,0,2,4,9,3260,990,1972,0,98040,47.5578,-122.212
20140910T000000,4,2.25,2970,54450,2.0,0,0,3,8,2970,0,1983,1998,98058,47.4338,-122.146
20140805T000000,3,2.0,1680,11250,1.0,0,0,4,8,1680,0,1967,0,98045,47.4861,-121.786
20150304T000000,4,3.25,2840,4000,2.0,0,3,3,9,2330,510,2014,0,98108,47.5529,-122.293
20141023T000000,3,2.0,1680,5246,1.0,0,0,3,7,1680,0,2007,0,98065,47.5206,-121.868
20150407T000000,4,3.75,5090,14823,1.0,0,0,3,11,4180,910,2013,0,98004,47.62,-122.207
20140610T000000,4,2.5,1940,6206,2.0,0,0,3,7,1940,0,1990,0,98023,47.3063,-122.359
20140822T000000,4,1.0,1610,8401,1.0,0,0,3,7,1610,0,1958,0,98056,47.5104,-122.165
20140612T000000,4,2.5,1770,5855,2.0,0,0,3,7,1770,0,2003,0,98038,47.3483,-122.053
20141016T000000,4,3.25,3400,99170,1.0,0,0,4,8,2000,1400,1980,0,98072,47.7293,-122.099
